id,class,degree,EigenvectorCentrality,PageRankScore,BetweennessScore,ClosenessScore
C1651626047,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C857225298,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C533316597,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C36961525,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C1350141268,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C1967440853,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C2080183074,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C1978111036,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C1956751505,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C1513967343,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C1531278091,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C1041060645,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C217654973,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C1251439451,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C976919593,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C1853514800,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C728984460,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C1510987794,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C1746633930,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C724206684,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C192629341,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C248395903,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C1338159838,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C1218258377,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C1442171840,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C739877872,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C1722259172,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
C886007554,1,1.0,0.0002379519666504146,0.15000000000000002,0.0,0.0
