C1231006815,1,1,PAYMENT,9839.64,170136.0,160296.36,0.0,0.0,0,0,M1979787155,TRANSACTION
C1666544295,1,1,PAYMENT,1864.28,21249.0,19384.72,0.0,0.0,0,0,M2044282225,TRANSACTION
C1305486145,1,1,TRANSFER,181.0,181.0,0.0,0.0,0.0,1,0,C553264065,TRANSACTION
C840083671,1,1,CASH_OUT,181.0,181.0,0.0,21182.0,0.0,1,0,C38997010,TRANSACTION
C2048537720,1,1,PAYMENT,11668.14,41554.0,29885.86,0.0,0.0,0,0,M1230701703,TRANSACTION
C90045638,1,1,PAYMENT,7817.71,53860.0,46042.29,0.0,0.0,0,0,M573487274,TRANSACTION
C154988899,1,1,PAYMENT,7107.77,183195.0,176087.23,0.0,0.0,0,0,M408069119,TRANSACTION
C1912850431,1,1,PAYMENT,7861.64,176087.23,168225.59,0.0,0.0,0,0,M633326333,TRANSACTION
C1265012928,1,1,PAYMENT,4024.36,2671.0,0.0,0.0,0.0,0,0,M1176932104,TRANSACTION
C712410124,1,1,DEBIT,5337.77,41720.0,36382.23,41898.0,40348.79,0,0,C195600860,TRANSACTION
C1900366749,1,1,DEBIT,9644.94,4465.0,0.0,10845.0,157982.12,0,0,C997608398,TRANSACTION
C249177573,1,1,PAYMENT,3099.97,20771.0,17671.03,0.0,0.0,0,0,M2096539129,TRANSACTION
C1648232591,1,1,PAYMENT,2560.74,5070.0,2509.26,0.0,0.0,0,0,M972865270,TRANSACTION
C1716932897,1,1,PAYMENT,11633.76,10127.0,0.0,0.0,0.0,0,0,M801569151,TRANSACTION
C1026483832,1,1,PAYMENT,4098.78,503264.0,499165.22,0.0,0.0,0,0,M1635378213,TRANSACTION
C905080434,1,1,CASH_OUT,229133.94,15325.0,0.0,5083.0,51513.44,0,0,C476402209,TRANSACTION
C761750706,1,1,PAYMENT,1563.82,450.0,0.0,0.0,0.0,0,0,M1731217984,TRANSACTION
C1237762639,1,1,PAYMENT,1157.86,21156.0,19998.14,0.0,0.0,0,0,M1877062907,TRANSACTION
C2033524545,1,1,PAYMENT,671.64,15123.0,14451.36,0.0,0.0,0,0,M473053293,TRANSACTION
C1670993182,1,1,TRANSFER,215310.3,705.0,0.0,22425.0,0.0,0,0,C1100439041,TRANSACTION
C20804602,1,1,PAYMENT,1373.43,13854.0,12480.57,0.0,0.0,0,0,M1344519051,TRANSACTION
C1566511282,1,1,DEBIT,9302.79,11299.0,1996.21,29832.0,16896.7,0,0,C1973538135,TRANSACTION
C1959239586,1,1,DEBIT,1065.41,1817.0,751.59,10330.0,0.0,0,0,C515132998,TRANSACTION
C504336483,1,1,PAYMENT,3876.41,67852.0,63975.59,0.0,0.0,0,0,M1404932042,TRANSACTION
C1984094095,1,1,TRANSFER,311685.89,10835.0,0.0,6267.0,2719172.89,0,0,C932583850,TRANSACTION
C1043358826,1,1,PAYMENT,6061.13,443.0,0.0,0.0,0.0,0,0,M1558079303,TRANSACTION
C1671590089,1,1,PAYMENT,9478.39,116494.0,107015.61,0.0,0.0,0,0,M58488213,TRANSACTION
